"Submit_ID","Brand_Reg","Model_No","SoldIn","Screen_Tech","Avg_mode_power","Star2","ScreenSize_Category"
159579,"KOGAN","KAQL85XQ98GSTA","Australia,Fiji,New Zealand","LCD (LED)",250.7,4,"75 inch+"
159579,"KOGAN","KAQL85XQ98GSTB","Australia,Fiji,New Zealand","LCD (LED)",250.7,4,"75 inch+"
159579,"KOGAN","KAQL85XQ98GSTC","Australia,Fiji,New Zealand","LCD (LED)",250.7,4,"75 inch+"
159579,"KOGAN","KAQL85XQ98GSTD","Australia,Fiji,New Zealand","LCD (LED)",250.7,4,"75 inch+"
159579,"KOGAN","KAQL85XQ98GSTE","Australia,Fiji,New Zealand","LCD (LED)",250.7,4,"75 inch+"
159579,"KOGAN","KAQL85XQ98GST","Australia,Fiji,New Zealand","LCD (LED)",250.7,4,"75 inch+"
159584,"KOGAN","KAQL75XQ98GSTA","Australia,Fiji,New Zealand","LCD (LED)",172.1,4.5,"65 inch"
159584,"KOGAN","KAQL75XQ98GSTB","Australia,Fiji,New Zealand","LCD (LED)",172.1,4.5,"65 inch"
159584,"KOGAN","KAQL75XQ98GSTC","Australia,Fiji,New Zealand","LCD (LED)",172.1,4.5,"65 inch"
159584,"KOGAN","KAQL75XQ98GSTD","Australia,Fiji,New Zealand","LCD (LED)",172.1,4.5,"65 inch"
159584,"KOGAN","KAQL75XQ98GSTE","Australia,Fiji,New Zealand","LCD (LED)",172.1,4.5,"65 inch"
159584,"KOGAN","KAQL75XQ98GST","Australia,Fiji,New Zealand","LCD (LED)",172.1,4.5,"65 inch"
158215,"SAMSUNG ELECTRONICS","UA50DU8000W","Australia,Fiji,New Zealand","LCD (LED)",83,4.5,"50 inch"
158215,"SAMSUNG ELECTRONICS","UA50DU8000S","Australia,Fiji,New Zealand","LCD (LED)",83,4.5,"50 inch"
158215,"SAMSUNG ELECTRONICS","UA50DU8500S","Australia,Fiji,New Zealand","LCD (LED)",83,4.5,"50 inch"
158215,"SAMSUNG ELECTRONICS","UA50DU800","Australia,Fiji,New Zealand","LCD (LED)",83,4.5,"50 inch"
159665,"TECO","LED58AUSRC","Australia,Fiji,New Zealand","LCD (LED)",86.5,5,"55 inch"
159666,"TECO","LED43AUSRC","Australia,Fiji,New Zealand","LCD (LED)",52.9,5,"43 inch"
159706,"AIWA","AWS400G","Australia","LCD",46.8,5,"43 inch"
159710,"AIWA","AWS650G","Australia","LCD",90.1,5.5,"55 inch"
159741,"KOGAN","KAQL70W94QA","Australia,Fiji,New Zealand","LCD (LED)",142.43,5,"65 inch"
159741,"KOGAN","KAQL70W94QB","Australia,Fiji,New Zealand","LCD (LED)",142.43,5,"65 inch"
159741,"KOGAN","KAQL70W94QC","Australia,Fiji,New Zealand","LCD (LED)",142.43,5,"65 inch"
159741,"KOGAN","KAQL70W94QD","Australia,Fiji,New Zealand","LCD (LED)",142.43,5,"65 inch"
159741,"KOGAN","KAQL70W94QE","Australia,Fiji,New Zealand","LCD (LED)",142.43,5,"65 inch"
159741,"KOGAN","KAQL70W94QF","Australia,Fiji,New Zealand","LCD (LED)",142.43,5,"65 inch"
159742,"SAMSUNG ELECTRONICS","UA98DU9000W","Australia,Fiji,New Zealand","LCD (LED)",332,4,"75 inch+"
159742,"SAMSUNG ELECTRONICS","UA98DU9000S","Australia,Fiji,New Zealand","LCD (LED)",332,4,"75 inch+"
159742,"SAMSUNG ELECTRONICS","UA98DU9000","Australia,Fiji,New Zealand","LCD (LED)",332,4,"75 inch+"
159751,"EKO","K500UGT","Australia,Fiji,New Zealand","LCD",96.56,3.5,"50 inch"
159778,"KOGAN","KAQL43XQ98GSVA","Australia,Fiji,New Zealand","LCD (LED)",87.66,3,"43 inch"
159778,"KOGAN","KAQL43XQ98GSVB","Australia,Fiji,New Zealand","LCD (LED)",87.66,3,"43 inch"
159778,"KOGAN","KAQL43XQ98GSVC","Australia,Fiji,New Zealand","LCD (LED)",87.66,3,"43 inch"
159790,"EKO","K650UGT2","Australia,Fiji,New Zealand","LCD (LED)",132.27,4.5,"55 inch"
159792,"TCL","43C655","Australia,Fiji,New Zealand","LCD (LED)",58.2,4.5,"43 inch"
159804,"LINSAR","LS40FHDNF23","Australia,Fiji,New Zealand","LCD (LED)",38.946,6,"43 inch"
159811,"TCL","50C655","Australia,Fiji,New Zealand","LCD (LED)",58.4,4.5,"50 inch"
159820,"TCL","55C655","Australia,Fiji,New Zealand","LCD (LED)",86.9,4.5,"50 inch"
159827,"TCL","65C655","Australia,Fiji,New Zealand","LCD (LED)",106.6,5,"55 inch"
159828,"TCL","75C655","Australia,Fiji,New Zealand","LCD (LED)",122,5.5,"65 inch"
159830,"TCL","65C855","Australia,Fiji,New Zealand","LCD (LED)",176.1,3,"55 inch"
159832,"TCL","75C855","Australia,Fiji,New Zealand","LCD (LED)",208.1,3,"65 inch"
