"Submit_ID","Brand_Reg","Model_No","SoldIn","Screen_Tech","Avg_mode_power","Star2","ScreenSize_Category"
158421,"SAMSUNG ELECTRONICS","QA55S90DAS","Australia,Fiji,New Zealand","LCD (LED)",112,4,"50 inch"
158421,"SAMSUNG ELECTRONICS","QA55S90DA","Australia,Fiji,New Zealand","LCD (LED)",112,4,"50 inch"
158422,"SAMSUNG ELECTRONICS","QA65QN85DBW","Australia,Fiji,New Zealand","LCD (LED)",134,4.5,"55 inch"
158422,"SAMSUNG ELECTRONICS","QA65QN85DBS","Australia,Fiji,New Zealand","LCD (LED)",134,4.5,"55 inch"
158422,"SAMSUNG ELECTRONICS","QA65QN85DB","Australia,Fiji,New Zealand","LCD (LED)",134,4.5,"55 inch"
158428,"VDT","LEW22BA43","Australia,Fiji,New Zealand","LCD (LED)",20.64,4.5,"22 inch"
158242,"SYLVOX","BT32AGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158143,"SYLVOX","BT24AGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158476,"SAMSUNG ELECTRONICS","QA65QN80DAW","Australia,Fiji,New Zealand","LCD (LED)",134,4.5,"55 inch"
158476,"SAMSUNG ELECTRONICS","QA65QN80DAS","Australia,Fiji,New Zealand","LCD (LED)",134,4.5,"55 inch"
158476,"SAMSUNG ELECTRONICS","QA65QN80DA","Australia,Fiji,New Zealand","LCD (LED)",134,4.5,"55 inch"
158484,"LOEWE","BILDi77","Australia,New Zealand","OLED",107.8,7,"75 inch+"
158506,"HISENSE","100U7KAU","Australia,New Zealand","LCD (LED)",241.58,5.5,"75 inch+"
158506,"HISENSE","100U7KNZ","Australia,New Zealand","LCD (LED)",241.58,5.5,"75 inch+"
